id,source_group,source_url,title,description,location,salary,posted_at,tags
e6537681f97fb14e,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc Làm Sinh Viên Part Time - Full Time TP.HCM,Việc Làm Sinh Viên Part Time - Full Time TP.HCM,,,2026-05-26,"part-time,student"
507482e3d35dcacf,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm Sinh Viên SG (Part Time - Full Time),Việc làm Sinh Viên SG (Part Time - Full Time),,,2026-05-26,"part-time,student"
da2ca8b70119c6d8,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm Sinh Viên Part-time | Full-time | Internship TP.HCM,Việc làm Sinh Viên Part-time | Full-time | Internship TP.HCM,,,2026-05-26,"part-time,student"
4ab3375d2a782eb1,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm parttime sinh viên TPHCM,Việc làm parttime sinh viên TPHCM,,,2026-05-26,"part-time,student"
7f977056ebe29054,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Tuyển Dụng Việc Làm TPHCM - Sinh Viên Làm Thêm TP.HCM,Tuyển Dụng Việc Làm TPHCM - Sinh Viên Làm Thêm TP.HCM,,,2026-05-26,"part-time,student"
61367e86fd56a513,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc Làm Thêm Cho Sinh Viên Fulltime -Parttime,Việc Làm Thêm Cho Sinh Viên Fulltime -Parttime,,,2026-05-26,"part-time,student"
359d143c29ebb35b,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Tuyển dụng Gen Z - Việc làm Sinh viên (TP.HCM),Tuyển dụng Gen Z - Việc làm Sinh viên (TP.HCM),,,2026-05-26,"part-time,student"
219dfec3ddced6ec,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Tuyển dụng việc làm TP HCM - Việc làm thêm sinh viên TP HCM,Tuyển dụng việc làm TP HCM - Việc làm thêm sinh viên TP HCM,,,2026-05-26,"part-time,student"
32e17e9714525846,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm Sinh viên TPHCM - Thời vụ/Part time/Full time,Việc làm Sinh viên TPHCM - Thời vụ/Part time/Full time,,,2026-05-26,"part-time,student"
af9a71d05e6b38fa,Việc Làm Thêm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm Sinh viên Fulltime/Partime | TP.HCM,Việc làm Sinh viên Fulltime/Partime | TP.HCM,,,2026-05-26,"part-time,student"
7e0d869d1c4ac83f,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm Sinh Viên Part-time | Full-time | Internship TP.HCM,Việc làm Sinh Viên Part-time | Full-time | Internship TP.HCM,,,2026-05-26,"part-time,student"
4cd7132de0625390,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm parttime sinh viên TPHCM,Việc làm parttime sinh viên TPHCM,,,2026-05-26,"part-time,student"
bd441741e3a60ae2,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Tuyển dụng Gen Z - Việc làm Sinh viên (TP.HCM),Tuyển dụng Gen Z - Việc làm Sinh viên (TP.HCM),,,2026-05-26,"part-time,student"
7e42c63c379412d8,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Tuyển Dụng Việc Làm TPHCM - Sinh Viên Làm Thêm TP.HCM,Tuyển Dụng Việc Làm TPHCM - Sinh Viên Làm Thêm TP.HCM,,,2026-05-26,"part-time,student"
ac012d13e52b5759,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,"Đại học Bách khoa - Việc làm, Tuyển dụng (Cộng đồng sinh viên ĐHBK)","Đại học Bách khoa - Việc làm, Tuyển dụng (Cộng đồng sinh viên ĐHBK)",,,2026-05-26,"part-time,student"
69c408fef2fe39c6,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc Làm Thêm Cho Sinh Viên Fulltime -Parttime,Việc Làm Thêm Cho Sinh Viên Fulltime -Parttime,,,2026-05-26,"part-time,student"
735dfc6315b59e3c,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm cho sinh viên Tp. HCM ( Ở đây đang tuyển dụng ... ),Việc làm cho sinh viên Tp. HCM ( Ở đây đang tuyển dụng ... ),,,2026-05-26,"part-time,student"
684cbf56f00a919e,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm Sinh viên Fulltime/Partime | TP.HCM,Việc làm Sinh viên Fulltime/Partime | TP.HCM,,,2026-05-26,"part-time,student"
955b37dc6582e0bb,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Tuyển Dụng Việc Làm Sinh Viên Mới Ra Trường TP.HCM Ⓒ,Tuyển Dụng Việc Làm Sinh Viên Mới Ra Trường TP.HCM Ⓒ,,,2026-05-26,"part-time,student"
9d62ca358506c3fe,Việc Làm Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc Làm Thêm Sinh Viên Fulltime-Parttime,Việc Làm Thêm Sinh Viên Fulltime-Parttime,,,2026-05-26,"part-time,student"
1d8cc77a5bcce76e,Việc Làm Thêm Cho Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Cho+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm Sinh Viên Part-time | Full-time | Internship TP.HCM,Việc làm Sinh Viên Part-time | Full-time | Internship TP.HCM,,,2026-05-26,"part-time,student"
3f7d8887fc1f6d8b,Việc Làm Thêm Cho Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Cho+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc Làm Sinh Viên Part Time - Full Time TP.HCM,Việc Làm Sinh Viên Part Time - Full Time TP.HCM,,,2026-05-26,"part-time,student"
2e12564cc4da174c,Việc Làm Thêm Cho Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Cho+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm Sinh Viên SG (Part Time - Full Time),Việc làm Sinh Viên SG (Part Time - Full Time),,,2026-05-26,"part-time,student"
09ce50f5e259b4f4,Việc Làm Thêm Cho Sinh Viên Làng Đại Học,https://www.facebook.com/search/groups/?q=Vi%E1%BB%87c+L%C3%A0m+Th%C3%AAm+Cho+Sinh+Vi%C3%AAn+L%C3%A0ng+%C4%90%E1%BA%A1i+H%E1%BB%8Dc,Việc làm parttime sinh viên TPHCM,Việc làm parttime sinh viên TPHCM,,,2026-05-26,"part-time,student"
